begintime,sk_object,duration,M51324C0,M51324C1,M51324C2
2022-03-11 05:30:00,15606.0,15,0.0,0.0,0.0
2022-03-11 05:30:00,15607.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15589.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15590.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15591.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15592.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15593.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15594.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15595.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15596.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15597.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15598.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15599.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15600.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15601.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15602.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15603.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15604.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15605.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15606.0,15,0.0,0.0,0.0
2022-03-11 05:45:00,15607.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15589.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15590.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15591.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15592.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15593.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15594.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15595.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15596.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15597.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15598.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15599.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15600.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15601.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15602.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15603.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15604.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15605.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15606.0,15,0.0,0.0,0.0
2022-03-11 06:00:00,15607.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15589.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15590.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15591.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15592.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15593.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15594.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15595.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15596.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15597.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15598.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15599.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15600.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15601.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15602.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15603.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15604.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15605.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15606.0,15,0.0,0.0,0.0
2022-03-11 06:15:00,15607.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15589.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15590.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15591.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15592.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15593.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15594.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15595.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15596.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15597.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15598.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15599.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15600.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15601.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15602.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15603.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15604.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15605.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15606.0,15,0.0,0.0,0.0
2022-03-11 06:30:00,15607.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15589.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15590.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15591.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15592.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15593.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15594.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15595.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15596.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15597.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15598.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15599.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15600.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15601.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15602.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15603.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15604.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15605.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15606.0,15,0.0,0.0,0.0
2022-03-11 06:45:00,15607.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15589.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15590.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15591.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15592.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15593.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15594.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15595.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15596.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15597.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15598.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15599.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15600.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15601.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15602.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15603.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15604.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15605.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15606.0,15,0.0,0.0,0.0
2022-03-11 07:00:00,15607.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15589.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15590.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15591.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15592.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15593.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15594.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15595.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15596.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15597.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15598.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15599.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15600.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15601.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15602.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15603.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15604.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15605.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15606.0,15,0.0,0.0,0.0
2022-03-11 07:15:00,15607.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15589.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15590.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15591.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15592.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15593.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15594.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15595.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15596.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15597.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15598.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15599.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15600.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15601.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15602.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15603.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15604.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15605.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15606.0,15,0.0,0.0,0.0
2022-03-11 07:30:00,15607.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15589.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15590.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15591.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15592.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15593.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15594.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15595.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15596.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15597.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15598.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15599.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15600.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15601.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15602.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15603.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15604.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15605.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15606.0,15,0.0,0.0,0.0
2022-03-11 07:45:00,15607.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15589.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15590.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15591.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15592.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15593.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15594.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15595.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15596.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15597.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15598.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15599.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15600.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15601.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15602.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15603.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15604.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15605.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15606.0,15,0.0,0.0,0.0
2022-03-11 08:00:00,15607.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15589.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15590.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15591.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15592.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15593.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15594.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15595.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15596.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15597.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15598.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15599.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15600.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15601.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15602.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15603.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15604.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15605.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15606.0,15,0.0,0.0,0.0
2022-03-11 08:15:00,15607.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15589.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15590.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15591.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15592.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15593.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15594.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15595.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15596.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15597.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15598.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15599.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15600.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15601.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15602.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15603.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15604.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15605.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15606.0,15,0.0,0.0,0.0
2022-03-11 08:30:00,15607.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15589.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15590.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15591.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15592.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15593.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15594.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15595.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15596.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15597.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15598.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15599.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15600.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15601.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15602.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15603.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15604.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15605.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15606.0,15,0.0,0.0,0.0
2022-03-11 08:45:00,15607.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15589.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15590.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15591.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15592.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15593.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15594.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15595.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15596.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15597.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15598.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15599.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15600.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15601.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15602.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15603.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15604.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15605.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15606.0,15,0.0,0.0,0.0
2022-03-11 09:00:00,15607.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15589.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15590.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15591.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15592.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15593.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15594.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15595.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15596.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15597.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15598.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15599.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15600.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15601.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15602.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15603.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15604.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15605.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15606.0,15,0.0,0.0,0.0
2022-03-11 09:15:00,15607.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15589.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15590.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15591.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15592.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15593.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15594.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15595.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15596.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15597.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15598.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15599.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15600.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15601.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15602.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15603.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15604.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15605.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15606.0,15,0.0,0.0,0.0
2022-03-11 09:30:00,15607.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15589.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15590.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15591.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15592.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15593.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15594.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15595.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15596.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15597.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15598.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15599.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15600.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15601.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15602.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15603.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15604.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15605.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15606.0,15,0.0,0.0,0.0
2022-03-11 09:45:00,15607.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15589.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15590.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15591.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15592.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15593.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15594.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15595.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15596.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15597.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15598.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15599.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15600.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15601.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15602.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15603.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15604.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15605.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15606.0,15,0.0,0.0,0.0
2022-03-11 10:00:00,15607.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15589.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15590.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15591.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15592.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15593.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15594.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15595.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15596.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15597.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15598.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15599.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15600.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15601.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15602.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15603.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15604.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15605.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15606.0,15,0.0,0.0,0.0
2022-03-11 10:15:00,15607.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15589.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15590.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15591.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15592.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15593.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15594.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15595.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15596.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15597.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15598.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15599.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15600.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15601.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15602.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15603.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15604.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15605.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15606.0,15,0.0,0.0,0.0
2022-03-11 10:30:00,15607.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15589.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15590.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15591.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15592.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15593.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15594.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15595.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15596.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15597.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15598.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15599.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15600.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15601.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15602.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15603.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15604.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15605.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15606.0,15,0.0,0.0,0.0
2022-03-11 10:45:00,15607.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15589.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15590.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15591.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15592.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15593.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15594.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15595.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15596.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15597.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15598.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15599.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15600.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15601.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15602.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15603.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15604.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15605.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15606.0,15,0.0,0.0,0.0
2022-03-11 11:00:00,15607.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15589.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15590.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15591.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15592.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15593.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15594.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15595.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15596.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15597.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15598.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15599.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15600.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15601.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15602.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15603.0,15,0.0,0.0,0.0
2022-03-11 11:15:00,15604.0,15,0.0,0.0,0.0
